index,Title,JobDescription,JobRequirment
0,Chief Financial Officer,"AMERIA Investment Consulting Company is seeking a Chief Financial Officer. This position manages the company's fiscal and administrative functions, provides highly responsible and technically complex staff assistance to the Executive Director. The work performed requires a high level of technical proficiency in financial management and investment management, as well as management, supervisory, and administrative skills.","- Supervises financial management and administrative staff, including assigning responsibilities, reviewing employees' work processes and products, counseling employees, giving performance evaluations, and recommending disciplinary action; - Serves as member of management team participating in both strategic and operational planning for the company; - Directs and oversees the company's financial management activities, including establishing and monitoring internal controls, managing cash and investments, and managing the investment portfolio in collaboration with the Investment team leader. This includes, but is not limited to, evaluation of investment risk, concentration risk, fund deployment levels, adequacy of loss and liquidity reserves Assists investment team in development of proper documentation and internal systems; - Directs and oversees the annual budgeting process, including developing projections for financial planning, and preparing budgets; - Prepares external and internal financial management reports, such as audited financial statements, tax returns, and reports for the board of directors and company staff; - Develops, implements, and maintains efficient and effective accounting systems and controls to ensure compliance with national and international accounting standards and principles, sufficiency of fund accounting, and comprehensiveness of data for reporting and compliance requirements; - Ensures contract compliance, including interpreting and monitoring contracts with clients, submitting required reports, and monitoring covenants and other contract terms; - Oversees the design, implementation and maintenance of computer-based information system. Oversees records retention (both manual and computer-based) and file maintenance activities; - Serves as company's risk manager, including evaluating loss exposure and obtaining insurance as appropriate; - Manages other administrative operations, such as facilities management, payroll administration, office operations, and administrative support; - Monitors corporate compliance with by-laws and articles of incorporation regarding corporate registration and reporting of fundraising operations."
2,Country Coordinator,"Public outreach and strengthening of a growing network of environmental NGOs, businesses, international organizations and public agencies. Will serve as primary contact between CENN and public. This is a full-time position.","- Working with the Country Director to provide environmental information to the general public via regular electronic communications and serving as the primary local contact to Armenian NGOs and businesses and the Armenian offices of international organizations and agencies; - Helping to organize and prepare CENN seminars/ workshops; - Participating in defining the strategy and policy of CENN in Armenia, the Caucasus region and abroad."
3,BCC Specialist,"The LEAD (Local Enhancement and Development for Health) BCC Specialist will apply state-of-the-art approaches in working with LGUs (Local Government Units) and NGOs to help them to identify and address provider-caused barriers to service provision as well as to identify and address supports for good service delivery by developing tools that may be adapted to each LGU's needs. S/he will work with LEAD staff across all components to support quality service delivery and will also monitor implementation of improved service delivery in LGUs, and will provide additional assistance to LGUs and NGOs, as needed. S/he will collect all relevant published and grey literature documents, identify gaps in knowledge, and work with NGOs and consultants to fill in the gaps. S/he will establish training for NGOs and LGU administration staff pursuing service enhancement and provider behavior change and will oversee the training. S/he will serve as the Project's primary liaison to TSAP and other projects and organizations working in behavior change.","- Identify gaps in knowledge and overseeing information collection to fill them; - Consolidate partnerships with center of excellence of technical support, working with local NGOs/COs, LCEs, and LGUs; - Work with LEAD team to develop assessment tools for LGUs to identify barriers and supports to quality service provision; - Assist LGUs and NGOs to design and implement multifaceted (if necessary), systematic interventions, based on assessment results, to enhance quality service provision, especially through provider behavior change. For example, ensure that not only providers, but their supervisors are trained and that monitoring and supervisory systems promote provider change, quality services, and sustainability of change; - Assist other LEAD specialists and units to enhance the quality of services, especially through BCC and provider behavior change, and assure that programs serve community needs; - Oversee and, when practical, co-facilitate behavior change training activities and proposal development and coordinate these activities, as needed, with other project components and counterpart agencies; - Participate in developing programs to address common barriers (e.g., strengthen service providers' interpersonal communication skills through on-the-job training and use of innovative training approaches based on TSAP-FP and other projects' approaches); - Provide training to local groups in developing programs in community mobilization and advocacy to participate in health planning process;  - Develop monitoring and evaluation systems for client-centered quality care/ provider behavior change; - Reinforce inter-organization collaboration and coordination of BCC interventions to improve the overall quality of interventions; - Serve as primary LEAD liaison with BCC agencies, projects, and consultants."
13,"Community Development, Capacity Building and Conflict","Food Security Regional Cooperation and Stability Programme in South Caucasus (FRCS) is seeking applications for the position of Community Development, Capacity Building and Conflict Management Consultant.","- Assist the Tavush Marz communities and community unions in developing and strengthening their capacities and structures of local self governance; - Identify impacts and further needs for capacity building measures at local level including civil society actors; - Conduct surveys, analysis and monitoring of local conflict and make necessary recommendations; - Organize meetings, discussions and prepare reports (in the Armenian, Russian and English languages)."
17,Country Economist (NOB),The United Nations Development Programme in Armenia announces opening for the position of  Country Economist.,"The incumbent under direct supervision of UNDP Resident Representative will be responsible for the following issues: regularly track economic data, undertake periodic analyses of economic and development issues and produce relevant reports aimed at promoting equitable economic growth and human development; advocate for the Millennium Development Goals, Human Development and equitable economic growth by participating in relevant forums, conferences and trainings; manage the production and launch of economic reports, including White papers and National Human Development Reports; provide high quality economic input to all relevant UNDP programmes and projects and ensure that UNDP programmes are in line with national ""policies and priorities; provide capacity building support in economic management to public institutions; assist the efforts of the Government and UNDP to mobilize resources by preparing documentation for donor and consultative meetings; facilitate policy dialogue on economic issues with the Government, private sector, civil society and donors; contribute to sub-regional, regional and inter-agency initiatives related to development issues."
18,Driver/ Logistics Assistant,Driver/ Logistics Assistant is a full-time national staff position based in CHAP Yerevan office. Five day work week.,"- Maintain CHAP/Armenia pool of vehicles and personal vehicle in working condition and in a high degree of readiness; - Operate CHAP/Armenia pool of vehicles and personal vehicle; - Report about use of CHAP/Armenia and personal vehicles; - Help maintain the CHAP/Armenia warehouse; - Help manage all aspects of the project implementation, including humanitarian assistance customs clearance, unloading, inventorying, distribution, monitoring, and providing feedback information; - Carry out spot-checks of recipient organizations for two years after assistance has been provided as assigned by CHAP/Armenia Country Program Director; - Help identify recipients and their needs within the project framework; - Help professionally answer telephone calls while in the CHAP/Armenia office; - Record photographically most effective use of HA items by recipient organizations; - Help prepare and submit to CHAP/Armenia Country Program Director feedback information about use of HA; - Perform other duties as assigned; - Report to CHAP/Armenia Country Program Director."
19,Graphic Designer,"The position of Graphic Designer (GD) demands a proven, successful experience in the field of ""new media"". The design and communication concepts that you have created since completing your studies are proving to be popular.",Graphic Designer will be responsible for every graphical development of our software and websites; from general user interface to product packaging including user guide documentation; will assist the marketing and communication team to develop the corporate material for the group and its subsidiaries; will also create marketing presentations for both in-house and client projects.
20,Administrative Assistant,"This is an excellent opportunity for the right person to join CUTS Centre for International Trade, Economics and Environment, London. CUTS (Consumer Unity & Trust Society) is a charitable organisation, with its headquarters in Jaipur, India, working at the local, national, regional and international levels, and has recently opened an office in London. The London office will coordinate and manage research and advocacy work on trade and economic issues and will also support other offices of CUTS by raising funds, organising events, etc. The organisation is concerned with the impact of international trade and economic regime on developing countries and advocates for the poor at different levels. The position will involve providing support for all these activities. Applicants must have experience in office administration.","- Responsible for managing office administration, including accounts, etc.;  - To provide administrative support to other staff (set-up and maintenance of the filing system, organising travel, events, etc); - Manage office communications (written, electronic and telephonic); liaison work with funding agencies, CUTS offices in other countries, other organisations, individuals; dealing with enquiries, etc.; - To manage general administration, including safety-related issues, human resources-related issues, etc.; In addition to responsibilities outlined above, the post will occasionally entail duties outside the normal working hours, such as managing events, accompanying visitors, working to meet deadlines, etc. Flexibility and good humour are essential."
22,Marketing Advisor,"The Marketing Advisor will lead the project in identifying and developing market opportunities, helping to develop Georgian capacity to structure deals, nurture the commercial skills of existing entrepreneurs, attract investment partners and facilitate increased agribusiness activities. The Marketing Advisor will be based in Tbilisi, Georgia with extensive travel throughout Georgia and the surrounding region.","- Lead the effort to identify targets of opportunity; primarily market-based but also taking into consideration Georgia numerous micro-climate opportunities; - Formulate and direct the implementation of market research, investigation and analysis which provides the foundation for identifying, assessing and developing targets of opportunity; - Provide the vision for conceptualizing commercial strategies for the potential targets of opportunity and lead in the formulation of market chain development strategies; - Direct the preparation of pre-feasibility and select feasibility level investigations and drive the process of packaging viable business opportunities which when implemented will result in successful commercial transactions and fully functioning market chains; - Play a key role in identifying strategic partners, both operational and investment; - Determine the market related facilitations that are needed to support the implementation of the packaged business opportunities and deliver these facilitations; my relate to linking buyers and sellers, direct involvement in trading and brokerage activities, formulating marketing strategies, developing branding programs, preparing promotional materials and programs, etc.; - Establish and build the capacity of two teams within the Marketing pillar: 1) Market Identification and Development Team; and, 2) Agribusiness Planning Team; - Together with the Processing Advisor, establish a central information center to house production, processing and marketing related technical information, as well as business and financial planning and management resource material; identify and subscribe to appropriate electronic market information databases; - Oversee the design and implementation of an appropriate Market Information Service for the Georgian agribusiness sector; - Select and facilitate client/ staff participation in appropriate international trade exhibitions; - Formulate and execute marketing-related training program for Georgian agribusinesses and local marketing team; - Build capacity to structure deals; - Formulate staff development programs for Marketing Team and take responsibility for supervision."
23,Chief/ Supervisor of Programs Department,"The candidate will work for the promotion and development of the company's activities. The Supervisor will also work in close collaboration with special departments and be responsible for their monitoring. The candidate will supervise and organize programs, develop work plans and perform other duties project requires.",- Overall management of operation and direction of the department;  - Manage project staff and subcontractors;  - Develop and implement work plans;  - Develop and maintain a strong professional relationship and ensure accurate documentation of communications and instructions.
